dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0383309125900269,62.84773707389832
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.022444248199463,62.964974880218506
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0606577396392822,62.967732667922974
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0615679025650024,63.05109143257141
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0911879539489746,62.21912121772766
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.0936013460159302,62.57589316368103
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,0.9691800475120544,63.75153613090515
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.1949206590652466,62.58933067321777
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.338528394699097,62.48181653022766
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9510788321495056,75.55340266227722
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9584107398986816,75.07496905326843
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9918513298034668,80.9477813243866
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.9885044097900392,85.05416584014893
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.987652599811554,75.7578706741333
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0031793117523191,75.62545537948608
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0081294775009155,75.25345635414124
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0107903480529783,75.5590591430664
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.0640387535095217,75.72280192375183
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.0576536655426023,75.44639134407043
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0893648862838743,75.57424926757812
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,4.19500732421875,75.60971927642822
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9568500518798828,62.760111808776855
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9549581408500672,62.49439096450806
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0200886726379397,62.69276022911072
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.073354959487915,62.81989789009094
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0463218688964844,62.90713143348694
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0615894794464111,62.79861354827881
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.057697057723999,62.760618925094604
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0867257118225098,63.21121668815613
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.093730330467224,63.03739404678345
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.175695776939392,62.9634792804718
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.1270073652267456,62.82554531097412
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,2.5951058864593506,62.59473848342896
