dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2444310188293457,75.88402724266052
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2682141065597534,75.85198044776917
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.254522442817688,75.35132932662964
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.2528856992721558,75.07016849517822
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.2463093996047974,75.22393417358398
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.247262477874756,69.85551834106445
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2534743547439575,69.34574675559998
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2692421674728394,69.15342688560486
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2711691856384275,69.49294114112854
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3295276165008545,68.85515332221985
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.3896678686141968,69.10431742668152
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2525358200073242,74.76008176803589
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2393934726715088,74.98794269561768
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2619311809539795,75.23927760124207
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2324044704437256,75.52020859718323
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.2845863103866575,76.02453565597534
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.458927035331726,75.96247386932373
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2498382329940796,69.89000535011292
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2468690872192385,69.81254053115845
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.230234146118164,69.7433249950409
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2587018013000488,69.8723521232605
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3910460472106934,69.87360644340515
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.25303316116333,69.67592477798462
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.246534824371338,75.53986978530884
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.247654676437378,75.25856471061707
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2432231903076172,75.00881695747375
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2639479637145996,75.4085476398468
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.3739030361175537,86.53234100341797
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.4385734796524048,95.80590963363647
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.252673864364624,71.52736377716064
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.248970866203308,68.68712997436523
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2397600412368774,69.06259346008301
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2259900569915771,69.17583131790161
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.427135348320007,68.78413939476013
