,Unnamed: 0,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
265,265,five_nodes,STGCN,0.0,,6,4,,100,1.1031988859176636,71.2856183052063
266,266,five_nodes,STGCN,0.0,,6,8,,100,1.2178082466125488,72.63599467277527
267,267,five_nodes,STGCN,0.0,,6,8,,100,1.1468263864517212,72.95837712287903
268,268,five_nodes,STGCN,0.0,,6,12,,100,1.2499310970306396,74.25611758232117
269,269,five_nodes,STGCN,0.0,,6,12,,100,1.217216730117798,74.08201551437378
270,270,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1271942853927612,76.10185742378235
271,271,five_nodes,IT-STGCN,0.0,,2,4,,100,1.131822109222412,76.32774615287781
272,272,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1781363487243652,78.81898999214172
273,273,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1786500215530396,78.31292486190796
274,274,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1411722898483276,79.51835632324219
275,275,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1546072959899902,80.20229315757751
276,276,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1911940574645996,75.73092436790466
277,277,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1573920249938965,76.88079643249512
278,278,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1710457801818848,80.34247851371765
279,279,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1816411018371582,77.85437607765198
280,280,five_nodes,IT-STGCN,0.0,,4,12,,100,1.2444443702697754,78.2557737827301
281,281,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1511062383651731,78.67258739471436
282,282,five_nodes,IT-STGCN,0.0,,6,4,,100,1.153905749320984,74.64724445343018
283,283,five_nodes,IT-STGCN,0.0,,6,4,,100,1.2448618412017822,74.75546050071716
284,284,five_nodes,IT-STGCN,0.0,,6,8,,100,1.2202056646347046,76.57912111282349
285,285,five_nodes,IT-STGCN,0.0,,6,8,,100,1.1846545934677124,76.80942487716675
286,286,five_nodes,IT-STGCN,0.0,,6,12,,100,1.3110307455062866,78.10645461082458
287,287,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2890466451644895,78.01214265823364
288,288,five_nodes,STGCN,0.0,,2,4,,100,1.1439334154129028,73.00103855133057
289,289,five_nodes,STGCN,0.0,,2,4,,100,1.134239673614502,72.80397748947144
290,290,five_nodes,STGCN,0.0,,2,8,,100,1.1610616445541382,74.53004360198975
291,291,five_nodes,STGCN,0.0,,2,8,,100,1.126633644104004,74.52594137191772
292,292,five_nodes,STGCN,0.0,,2,12,,100,1.1721539497375488,75.83553504943848
293,293,five_nodes,STGCN,0.0,,2,12,,100,1.1338222026824951,75.98479294776917
294,294,five_nodes,STGCN,0.0,,4,4,,100,1.103960037231445,72.4125304222107
295,295,five_nodes,STGCN,0.0,,4,4,,100,1.1294184923171997,72.16441440582275
296,296,five_nodes,STGCN,0.0,,4,8,,100,1.2327214479446411,75.15301394462585
297,297,five_nodes,STGCN,0.0,,4,8,,100,1.1596778631210327,73.953604221344
298,298,five_nodes,STGCN,0.0,,4,12,,100,1.1128448247909546,75.15621662139893
299,299,five_nodes,STGCN,0.0,,4,12,,100,1.2330766916275024,74.68411946296692
300,300,five_nodes,STGCN,0.0,,6,4,,100,1.1926625967025757,71.84593439102173
301,301,five_nodes,STGCN,0.0,,6,4,,100,1.1433236598968506,71.48164105415344
302,302,five_nodes,STGCN,0.0,,6,8,,100,1.226694107055664,73.37898373603821
303,303,five_nodes,STGCN,0.0,,6,8,,100,1.1281942129135132,74.60049152374268
304,304,five_nodes,STGCN,0.0,,6,12,,100,1.3594850301742554,76.23656058311462
