dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,lr,mse,calculation_time
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.2138129472732544,3.3280742168426514
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.4997397661209106,5.336312532424927
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.5626277923583984,7.289477109909058
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.26609206199646,4.354004621505737
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.6527665853500366,9.592077732086182
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.57205331325531,5.819792747497559
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.4946155548095703,6.946078300476074
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.337544322013855,35.58576989173889
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.298370122909546,4.229120254516602
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.3326219320297241,1.9845945835113525
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.4972727298736572,4.380106449127197
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.6143488883972168,6.28131103515625
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.5533618927001953,3.210300922393799
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.535227656364441,11.145198345184326
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.5180503129959106,6.907264947891235
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.500097632408142,7.705394268035889
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.3310779333114624,17.23905301094055
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2704516649246216,6.32738471031189
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.6114680767059326,3.7118499279022217
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.409490704536438,6.289414644241333
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.5176185369491577,9.421463251113892
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.118295669555664,5.7435948848724365
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.5846118927001953,7.929877042770386
